Symbol
RY
RYAN
S
SAIC
SAN
SAP
SBSW
SCHW
SCI
SCL
SE
SEAS
SEE
SEM
SF
SHAK
SHEL
SHG
SHOP
SHW
SID
SIG
SITC
SITE
SIX
SJW
SKM
SKX
SKY
SLB
SLF
SLGN
SM
SMAR
SMFG
SMG
SNA
SNAP
SNDR
SNN
SNOW
SNV
SNX
SO
SON
SONY
SPB
SPG
SPGI
SPOT
SPR
SPXC
SQ
SQM
SQSP
SRC
SRE
SSD
SSL
ST
STAG
STE
STLA
STM
STN
STNG
STT
STVN
STWD
STZ
SU
SUI
SUM
SUN
SUZ
SWK
SWN
SWX
SXT
SYF
SYK
SYY
T
TAC
TAK
TAP
TCN
TD
TDC
TDG
TDOC
TDW
TDY
TECK
TEF
TEL
TEX
TFC
TFII
TFPM
TFX
TGLS
TGNA
TGT
THC
THG
THS
TIMB
TIXT
TJX
TKC
TKR
TLK
TM
TME
TMHC
TMO
TNET
TNL
TOL
TOST
TPH
TPL
TPR
TPX
TREX
TRGP
TRI
TRNO
TRP
TRU
TRV
TS
TSM
TSN
TT
TTC
TTE
TU
TV
TWLO
TX
TXT
TYL
U
UAA
UBER
UBS
UDR
UGP
UL
UMC
UNH
UNM
UNP
UNVR
UPS
URI
USB
USFD
V
VAC
VALE
VEEV
VFC
VICI
VIPS
VIV
VLO
VMC
VMI
VMW
VNT
VOYA
VRT
VSH
VST
VTR
VVV
W
WAB
WAL
WAT
WBS
WCC
WCN
WD
WDS
WEC
WELL
WES
WEX
WF
WFC
WFG
WH
WHD
WK
WM
WMB
WMS
WMT
WNS
WOLF
WPC
WPM
WPP
WRB
WRK
WSO
WST
WTRG
WWE
WY
XOM
XPEV
XPO
XYL
YETI
YMM
YOU
YUM
YUMC
ZBH
ZTO
ZTS
ZWS
